timestamp_hour,prev_pip,previous 9 number,prev 8 pip change,prev9 prices,pips_output
12,-1,"[1, 1, 1, 3, 5, 3, 5, 7, 5]","[0, 0, -1, 0, 0, 0, -1, 1]","[1.0579, 1.05795, 1.0579, 1.05785, 1.0578, 1.05785, 1.0578, 1.05775, 1.0578]",0
13,1,"[3, 3, 8, 3, 3, 7, 5, 7, 5]","[0, 0, 0, 0, -1, 0, 0, 0]","[1.0572, 1.05725, 1.0573, 1.05725, 1.0572, 1.05715, 1.0571, 1.05715, 1.0571]",0
12,2,"[9, 2, 9, 7, 9, 7, 5, 7, 5]","[0, 0, 1, -1, 1, 0, 0, 0]","[1.05555, 1.0555, 1.05555, 1.0556, 1.05555, 1.0556, 1.05565, 1.0556, 1.05565]",0
14,1,"[3, 8, 3, 3, 5, 3, 5, 7, 5]","[1, -1, 0, -1, 1, -1, 0, 0]","[1.05575, 1.0558, 1.05575, 1.0557, 1.05565, 1.0557, 1.05565, 1.0556, 1.05565]",3
14,1,"[5, 7, 7, 2, 7, 7, 5, 7, 5]","[-1, 0, -1, 1, 0, 1, -1, 1]","[1.0567, 1.05665, 1.0566, 1.05655, 1.0566, 1.05665, 1.0567, 1.05665, 1.0567]",-1
17,1,"[8, 3, 3, 5, 7, 9, 5, 7, 5]","[-1, 0, -1, 0, -1, 1, 0, 0]","[1.05585, 1.05575, 1.0557, 1.05565, 1.0556, 1.05555, 1.05565, 1.0556, 1.05565]",1
18,7,"[4, 4, 2, 7, 5, 7, 5, 7, 5]","[-1, 1, 1, 1, -1, 1, -1, 1]","[1.0565, 1.05645, 1.05655, 1.05665, 1.0567, 1.05665, 1.0567, 1.05665, 1.05675]",3
18,10,"[5, 1, 6, 9, 5, 9, 5, 7, 5]","[1, 1, 1, 1, -1, 1, 0, 0]","[1.05675, 1.0568, 1.0569, 1.057, 1.0571, 1.057, 1.0571, 1.05715, 1.0571]",1
18,6,"[6, 9, 5, 9, 5, 7, 5, 7, 5]","[1, 1, -1, 1, 0, 0, 0, 0]","[1.0569, 1.057, 1.0571, 1.057, 1.0571, 1.05715, 1.0571, 1.05715, 1.0571]",2
18,6,"[9, 7, 5, 5, 3, 5, 5, 7, 5]","[1, 0, 1, 0, 0, -1, 0, 0]","[1.05875, 1.0588, 1.05885, 1.0589, 1.05895, 1.0589, 1.05885, 1.0588, 1.05885]",-1
18,-1,"[3, 3, 7, 5, 9, 9, 5, 7, 5]","[0, -1, 0, -1, 0, 1, 0, 0]","[1.05725, 1.0572, 1.05715, 1.0571, 1.05705, 1.057, 1.0571, 1.05715, 1.0571]",-1
18,-2,"[5, 5, 5, 7, 5, 5, 5, 7, 5]","[1, -1, 0, 0, 1, -1, 0, 0]","[1.05885, 1.0589, 1.05885, 1.0588, 1.05885, 1.0589, 1.05885, 1.0588, 1.05885]",0
18,1,"[1, 3, 5, 7, 9, 7, 5, 7, 5]","[-1, 0, -1, 0, 0, 1, -1, 1]","[1.0579, 1.05785, 1.0578, 1.05775, 1.0577, 1.05775, 1.0578, 1.05775, 1.0578]",-2
18,-3,"[6, 1, 6, 8, 1, 1, 5, 7, 5]","[-1, 1, 0, -1, 0, -1, -1, 1]","[1.0569, 1.05685, 1.0569, 1.05695, 1.05685, 1.0568, 1.0567, 1.05665, 1.0567]",-1
18,1,"[2, 4, 4, 2, 7, 7, 5, 7, 5]","[0, -1, 1, 1, 0, 1, -1, 1]","[1.05655, 1.0565, 1.05645, 1.05655, 1.0566, 1.05665, 1.0567, 1.05665, 1.0567]",0
18,2,"[9, 9, 5, 7, 3, 9, 5, 7, 5]","[0, 1, 0, 1, -2, 1, 0, 0]","[1.057, 1.05705, 1.0571, 1.05715, 1.0572, 1.05705, 1.0571, 1.05715, 1.0571]",0
18,-1,"[7, 7, 5, 5, 7, 5, 5, 7, 5]","[0, 1, 0, -1, 1, 0, -1, 1]","[1.0566, 1.05665, 1.0567, 1.05675, 1.05665, 1.05675, 1.0567, 1.05665, 1.0567]",-1
18,2,"[1, 1, 1, 1, 6, 9, 5, 7, 5]","[0, 0, 0, 1, 1, 1, 0, 0]","[1.05685, 1.0568, 1.05685, 1.0568, 1.0569, 1.057, 1.0571, 1.05715, 1.0571]",-1
18,-1,"[9, 8, 9, 9, 9, 9, 5, 7, 5]","[-1, 1, 0, 0, 0, 1, 0, 0]","[1.057, 1.05695, 1.057, 1.05705, 1.057, 1.05705, 1.0571, 1.05715, 1.0571]",-9
18,-1,"[9, 9, 9, 9, 5, 7, 5, 7, 5]","[0, 0, 0, 1, 0, 0, 0, 0]","[1.057, 1.05705, 1.057, 1.05705, 1.0571, 1.05715, 1.0571, 1.05715, 1.0571]",-12
18,-4,"[1, 6, 1, 6, 1, 5, 5, 7, 5]","[1, -1, 1, -1, -1, 0, -1, 1]","[1.05685, 1.0569, 1.05685, 1.0569, 1.05685, 1.05675, 1.0567, 1.05665, 1.0567]",-9
18,-8,"[9, 2, 9, 7, 9, 7, 5, 7, 5]","[0, 0, 1, -1, 1, 0, 0, 0]","[1.05555, 1.0555, 1.05555, 1.0556, 1.05555, 1.0556, 1.05565, 1.0556, 1.05565]",-5
18,-8,"[9, 7, 9, 7, 5, 7, 5, 7, 5]","[1, -1, 1, 0, 0, 0, 0, 0]","[1.05555, 1.0556, 1.05555, 1.0556, 1.05565, 1.0556, 1.05565, 1.0556, 1.05565]",-4
18,5,"[7, 9, 5, 9, 4, 7, 5, 7, 5]","[-1, 1, -1, -12, 13, 0, 0, 0]","[1.0556, 1.05555, 1.05565, 1.05555, 1.05435, 1.0556, 1.05565, 1.0556, 1.05565]",-4
18,3,"[7, 5, 3, 3, 5, 3, 5, 7, 5]","[0, 1, 0, -1, 1, -1, 0, 0]","[1.0556, 1.05565, 1.0557, 1.05575, 1.05565, 1.0557, 1.05565, 1.0556, 1.05565]",-5
18,3,"[3, 3, 5, 3, 5, 7, 5, 7, 5]","[0, -1, 1, -1, 0, 0, 0, 0]","[1.0557, 1.05575, 1.05565, 1.0557, 1.05565, 1.0556, 1.05565, 1.0556, 1.05565]",-5
18,4,"[5, 3, 5, 7, 5, 7, 5, 7, 5]","[1, -1, 0, 0, 0, 0, 0, 0]","[1.05565, 1.0557, 1.05565, 1.0556, 1.05565, 1.0556, 1.05565, 1.0556, 1.05565]",-6
18,1,"[5, 3, 1, 3, 1, 3, 5, 7, 5]","[0, 1, -1, 1, -1, 0, -1, 1]","[1.0546, 1.05465, 1.0547, 1.05465, 1.0547, 1.05465, 1.0546, 1.05455, 1.0546]",3
18,-2,"[9, 9, 2, 9, 9, 7, 5, 7, 5]","[1, -1, 0, 1, 0, 1, -1, 1]","[1.05445, 1.0545, 1.0544, 1.05445, 1.0545, 1.05455, 1.0546, 1.05455, 1.0546]",0
18,-1,"[2, 9, 9, 7, 5, 7, 5, 7, 5]","[0, 1, 0, 1, -1, 1, -1, 1]","[1.0544, 1.05445, 1.0545, 1.05455, 1.0546, 1.05455, 1.0546, 1.05455, 1.0546]",-1
18,-1,"[5, 7, 9, 7, 5, 3, 5, 7, 5]","[-1, 0, 0, 1, 0, 0, -1, 1]","[1.0546, 1.05455, 1.0545, 1.05455, 1.0546, 1.05465, 1.0546, 1.05455, 1.0546]",-1
18,-3,"[1, 5, 5, 7, 7, 7, 5, 7, 5]","[-1, 0, -1, -1, 1, 1, -1, 1]","[1.0536, 1.05355, 1.0535, 1.05345, 1.0534, 1.05345, 1.0535, 1.05345, 1.0535]",2
18,4,"[6, 4, 2, 9, 9, 7, 5, 7, 5]","[1, 1, 0, 1, 0, 1, -1, 1]","[1.05425, 1.05435, 1.0544, 1.05445, 1.0545, 1.05455, 1.0546, 1.05455, 1.0546]",2
18,-1,"[7, 8, 8, 8, 3, 3, 5, 7, 5]","[-2, 0, 0, -1, 0, -1, 0, 0]","[1.056, 1.05585, 1.0558, 1.05585, 1.05575, 1.0557, 1.05565, 1.0556, 1.05565]",4
18,6,"[5, 9, 9, 9, 5, 9, 5, 7, 5]","[-1, 0, 0, 1, -1, 1, 0, 0]","[1.0571, 1.05705, 1.057, 1.05705, 1.0571, 1.05705, 1.0571, 1.05715, 1.0571]",-2
18,5,"[9, 9, 5, 9, 5, 7, 5, 7, 5]","[0, 1, -1, 1, 0, 0, 0, 0]","[1.057, 1.05705, 1.0571, 1.05705, 1.0571, 1.05715, 1.0571, 1.05715, 1.0571]",-1
18,3,"[5, 7, 5, 7, 5, 9, 5, 7, 5]","[0, 0, 0, 0, -1, 1, 0, 0]","[1.0571, 1.05715, 1.0571, 1.05715, 1.0571, 1.05705, 1.0571, 1.05715, 1.0571]",-3
18,-4,"[5, 7, 2, 7, 7, 7, 5, 7, 5]","[-1, -1, 1, 0, 0, 1, -1, 1]","[1.05675, 1.0566, 1.05655, 1.05665, 1.0566, 1.05665, 1.0567, 1.05665, 1.0567]",-1
18,-3,"[7, 5, 7, 5, 7, 7, 5, 7, 5]","[1, -1, 1, -1, 0, 1, -1, 1]","[1.05665, 1.0567, 1.05665, 1.0567, 1.05665, 1.0566, 1.0567, 1.05665, 1.05675]",-2
18,-4,"[5, 5, 7, 7, 5, 5, 5, 7, 5]","[0, -1, 0, 1, 0, 0, -1, 1]","[1.05675, 1.0567, 1.05665, 1.0566, 1.0567, 1.05675, 1.0567, 1.05665, 1.0567]",-2
18,-2,"[7, 5, 3, 7, 3, 7, 5, 7, 5]","[0, 1, -1, 1, -1, 0, 0, 0]","[1.0556, 1.05565, 1.0557, 1.0556, 1.0557, 1.0556, 1.05565, 1.0556, 1.05565]",-1
18,2,"[6, 8, 1, 6, 8, 9, 5, 7, 5]","[0, -1, 1, 0, 1, 1, 0, 0]","[1.0569, 1.05695, 1.05685, 1.0569, 1.05695, 1.057, 1.0571, 1.05715, 1.0571]",1
18,2,"[1, 5, 5, 5, 5, 5, 5, 7, 5]","[-2, 1, -1, 1, -1, 1, -1, 0]","[1.05945, 1.0593, 1.05935, 1.0593, 1.05935, 1.0593, 1.05935, 1.05925, 1.0593]",5
